Aldebaran  ,alTau,ICRS,04,35,55.2387,+16,30,33.485,62.78,-189.35,54.26,50.09,0.985, 16,  629
Rohini  ,alTau,ICRS,04,35,55.2387,+16,30,33.485,62.78,-189.35,54.26,50.09,0.985, 16,  629
Algol      ,bePer,ICRS,03,08,10.1315,+40,57,20.332,2.39,-1.44,4.0,35.14,2.12, 40,  673
Antares    ,alSco,ICRS,16,29,24.4609,-26,25,55.209,-10.16,-23.21,-3.4,5.40,1.09,-26,11359
Regulus    ,alLeo,ICRS,10,08,22.4593,+11,58,01.9027,-248.73,5.59,5.9,42.09,1.35, 12, 2149
Sirius     ,alCMa,ICRS,06,45,08.9173,-16,42,58.017,-546.05,-1223.14,-7.6,379.21,-1.47,-16, 1591
Spica      ,alVir,ICRS,13,25,11.5793,-11,09,40.759,-42.50,-31.73,1.0,12.44,1.04,-10, 3672
# speed of SgrA* according to Reid (2004), "The Proper Motion of Sagittarius
# A*", p. 873: -3.151 +- 0.018 mas/yr, -5.547 +- 0.026 mas/yr. Component in 
# RA must be multiplied with cos(decl).
Gal. Center,SgrA*,2000,17,45,40.0409,-29,00,28.118,-2.755718425, -5.547,  0.0,0.0000,999.99,  0,    0
# Great Attractor, near Galaxy Cluster ACO 3627, at gal. coordinates 
# 325.3, -7.2, 4844 km s-1 according to Kraan-Korteweg et al. 1996, 
# Woudt 1998
Great Attractor,GA,2000,16,15,02.836,-60,53,22.54,0.000,   0.00,  0.0,0.0000,999.99,  0,    0
# Virgo Cluster, according to NED (Nasa Extragalactic Database)
Virgo Cluster,VC,2000,12,26,32.1,12,43,24,0.000,   0.00,  0.0,0.0000,999.99,  0,    0
Andromeda Galaxy,M31,ICRS,00,42,44.330,+41,16,07.50,-35.99,-12.92,-301,,3.44,  0,    0
# Prasepe (Beehive Cluster): http://seds.lpl.arizona.edu/messier/m/m044.html (note, the apparent dimension is 95.0 arc min)
Praesepe Cluster,M44,2000,08,40,6.000,19,59,0.00,0.000,   0.00,  0.0,0.0000,3.7,  0,    0
# Prasepe (Beehive Cluster): http://obswww.unige.ch/webda/cgi-bin/ocl_page.cgi?cluster=m44 (note, the apparent dimension is 95.0 arc min)
Praesepe Cluster,M44,2000,08,40,6.000,19,59,0.00,0.000,   0.00,  0.0,0.0000,3.7,  0,    0
# moved this to top of file, otherwise Polaris Australis will be found
Polaris      ,alUMi,ICRS,02,31,49.0837,+89,15,50.794,44.22,-11.75,-17.4,7.56,2.005, 88,    8
Sanduleak      ,SN1987A,ICRS,05,35,28.020,-69,16,11.07,0.0,0.0,0.0,0.0,4.81, 0,    0
#
# Fixed stars brighter than Magnitude 5 
# This file is based on data provided by S. Moshier.
# 7 Mai 1999:
# File was improved by Valentin Abramov, Tartu, Estonia in April 1999.
# - The stars are ordered by constellation.
# - Most names come from Arabic and have several transliterations, 
#   e.g. Algieba and Al Jabhah. In such cases, the record has been 
#   duplicated and both spellings have been given.
# 
# 11 Jan 2006 (Dieter Koch):
# File updated with star positions from the SIMBAD Astronomical Database.
# http://simbad.u-strasbg.fr/simbad/sim-fid
# 
# The Galactic Center was taken from 
# The Astrophysical Journal, Volume 518, Issue 1, pp. L33-L35.
#
# The data are:
# traditional name (no leading blanks in field)
# nomenclature name (no leading blanks in field)
# equinox (must be either '1950' or '2000' or 'ICRS')
# right ascension hours
#               minutes
#               seconds
# declination   degrees
#               minutes
#               seconds
# proper motion in right asc., 0.001"/year * cos(decl0)
#               in decl., 0.001"/year
# radial velocity in km/s
# annual parallax in 0.001"/year
# magnitude V
# DM zone (Durchmusterung zone; declination 1900)
# DM number 
#
# To achieve higher speed for swe_fixstar(), you can copy the 
# stars you prefer to the top of the list
#
# The following stars are given first to avoid that swe_fixstar() 
# return e.g. Denebola when Deneb is required.
Deneb        ,alCyg,ICRS,20,41,25.9147,+45,16,49.217,1.56,1.55,-4.5,1.01,1.25, 44, 3541
Deneb Adige ,alCyg,ICRS,20,41,25.9147,+45,16,49.217,1.56,1.55,-4.5,1.01,1.25, 44, 3541
Rigel        ,beOri,ICRS,05,14,32.2723,-08,12,05.906,1.87,-0.56,20.7,4.22,0.12,-08, 1063
Mira        ,omiCet,ICRS,02,19,20.7927,-02,58,39.513,10.33,-239.48,63.8,7.79,3.04,-03,  353
Ain          ,epTau,ICRS,04,28,36.9995,+19,10,49.554,107.23,-36.77,38.15,21.04,3.540, 18,  640
Segin        ,epCas,ICRS,01,54,23.7255,+63,40,12.365,31.98,-18.66,-8.1,7.38,3.342, 62,  320
#
# Andromeda
Alpheratz    ,alAnd,ICRS,00,08,23.2586,+29,05,25.555,135.68,-162.95,-11.7,33.60,2.06, 28,    4
Sirrah       ,alAnd,ICRS,00,08,23.2586,+29,05,25.555,135.68,-162.95,-11.7,33.60,2.06, 28,    4
Mirach       ,beAnd,ICRS,01,09,43.9236,+35,37,14.008,175.59,-112.23,0.06,16.36,2.06, 34,  198
Almaak     ,ga-1And,ICRS,02,03,53.9531,+42,19,47.009,43.08,-50.85,-11.7,9.19,2.26, 41,  395
Almak      ,ga-1And,ICRS,02,03,53.9531,+42,19,47.009,43.08,-50.85,-11.7,9.19,2.26, 41,  395
Almac      ,ga-1And,ICRS,02,03,53.9531,+42,19,47.009,43.08,-50.85,-11.7,9.19,2.26, 41,  395
Almach     ,ga-1And,ICRS,02,03,53.9531,+42,19,47.009,43.08,-50.85,-11.7,9.19,2.26, 41,  395
             ,deAnd,ICRS,00,39,19.6758,+30,51,39.686,115.38,-83.05,-7.3,32.19,3.28, 30,   91
             ,epAnd,ICRS,00,38,33.3458,+29,18,42.305,-229.42,-254.09,-83.6,19.34,4.37, 28,  103
             ,zeAnd,ICRS,00,47,20.3254,+24,16,01.841,-101.23,-81.89,-23.7,17.98,4.100, 23,  106
             ,ioAnd,ICRS,23,38,08.2013,+43,16,05.063,27.72,-1.21,-0.5,6.49,4.30, 42, 4720
             ,kaAnd,ICRS,23,40,24.5081,+44,20,02.154,81.33,-18.96,-9,19.22,4.137, 43, 4522
             ,laAnd,ICRS,23,37,33.8425,+46,27,29.347,159.22,-421.46,6.8,38.74,3.82, 45, 4283
             ,muAnd,ICRS,00,56,45.2115,+38,29,57.641,152.78,36.82,7.6,23.93,3.867, 37,  175
             ,nuAnd,ICRS,00,49,48.8473,+41,04,44.079,22.68,-18.05,-23.9,4.80,4.524, 40,  171
Adhil        ,xiAnd,ICRS,01,22,20.4198,+45,31,43.600,32.21,8.73,-12.59,16.68,4.875, 44,  287
            ,omiAnd,ICRS,23,01,55.2643,+42,19,33.525,22.47,0.24,-14.0,4.71,3.633, 41, 4664
             ,piAnd,ICRS,00,36,52.8497,+33,43,09.637,15.23,-3.56,8.7,4.97,4.335, 32,  101
             ,rhAnd,ICRS,00,21,07.2691,+37,58,06.971,58.32,-39.65,9.1,20.42,5.18, 37,   45
             ,siAnd,ICRS,00,18,19.6569,+36,47,06.807,-66.51,-42.48,-8.0,23.11,4.52, 35,   44
Adhab        ,upAnd,ICRS,01,36,47.8428,+41,24,19.652,-172.57,-381.03,-28.3,74.25,4.09, 40,  332
             ,psAnd,ICRS,23,46,02.0466,+46,25,12.993,9.05,-6.25,-24.8,2.49,4.982, 45, 4321
            ,omeAnd,ICRS,01,27,39.3817,+45,24,24.074,356.99,-109.32,10.8,35.33,4.83, 44,  307
Andromeda Galaxy,M31,ICRS,00,42,44.330,+41,16,07.50,-35.99,-12.92,-301,,3.44,  0,    0
# Antila
             ,alAnt,ICRS,10,27,09.1011,-31,04,04.004,-80.42,9.63,12.2,8.90,4.280,-30, 8465
             ,epAnt,ICRS,09,29,14.7197,-35,57,04.808,-24.74,5.07,22.2,4.66,4.508,-35, 5724
             ,thAnt,ICRS,09,44,12.110,-27,46,10.30,-47.8,34.0,24.0,,4.79,-27, 6881
             ,ioAnt,ICRS,10,56,43.0511,-37,08,15.956,74.96,-124.50,-0.2,16.40,4.605,-36, 6808
# Apus
             ,alAps,ICRS,14,47,51.7087,-79,02,41.103,-5.67,-15.75,-1.1,7.93,3.825,-78,  893
             ,gaAps,ICRS,16,33,27.0835,-78,53,49.732,-125.68,-77.59,5.4,20.44,3.872,-78, 1103
           ,de-1Aps,ICRS,16,20,20.8056,-78,41,44.682,-9.91,-36.59,-12.0,4.26,4.76,-78, 1092
             ,thAps,ICRS,14,05,19.879,-76,47,48.33,-87.41,-31.23,9.0,9.93,5.70,-76,  799
             ,ioAps,ICRS,17,22,05.8760,-70,07,23.549,-1.73,-12.04,-4.3,2.85,5.41,-69, 2719
           ,ka-1Aps,ICRS,15,31,30.8214,-73,23,22.527,0.38,-18.28,62,3.20,5.49,-72, 1802
# Aquila
Altair       ,alAql,ICRS,19,50,46.9990,+08,52,05.959,536.87,385.57,-26.1,194.45,0.77, 08, 4236
Shravana     ,alAql,ICRS,19,50,46.9990,+08,52,05.959,536.87,385.57,-26.1,194.45,0.77, 08, 4236
Alshain      ,beAql,ICRS,19,55,18.7934,+06,24,24.348,46.35,-481.35,-39.8,72.95,3.710, 06, 4357
Tarazed      ,gaAql,ICRS,19,46,15.5795,+10,36,47.740,15.72,-3.08,-2.79,7.08,2.724, 10, 4043
Al Mizan     ,deAql,ICRS,19,25,29.9005,+03,06,53.191,253.07,80.67,-30.1,65.05,3.40, 02, 3879
Deneb el Okab Borealis,epAql,ICRS,18,59,37.3574,+15,04,05.873,-52.68,-73.81,-48,21.22,4.025, 14, 3736
Deneb el Okab Australis,zeAql,ICRS,19,05,24.6082,+13,51,48.521,-7.04,-95.31,-25,39.18,2.988, 13, 3899
Dheneb       ,zeAql,ICRS,19,05,24.6082,+13,51,48.521,-7.04,-95.31,-25,39.18,2.988, 13, 3899
Bazak        ,etAql,ICRS,19,52,28.3679,+01,00,20.378,6.94,-7.30,-14.8,2.78,3.88, 00, 4337
Tseen Foo    ,thAql,ICRS,20,11,18.2855,-00,49,17.260,35.48,6.05,-27.3,11.36,3.242,-01, 3911
Al Thalimaim Posterior,ioAql,ICRS,19,36,43.2777,-01,17,11.763,1.89,-20.75,-21.4,10.61,4.349,-01, 3782
             ,kaAql,ICRS,19,36,53.4493,-07,01,38.918,1.29,-2.69,-19.4,2.24,4.960,-07, 5006
Al Thalimaim Anterior,laAql,ICRS,19,06,14.9384,-04,52,57.195,-19.68,-90.37,-12,26.05,3.427,-05, 4876
             ,muAql,ICRS,19,34,05.3529,+07,22,44.189,212.76,-155.39,-24.73,29.50,4.45, 07, 4132
             ,rhAql,ICRS,20,14,16.6193,+15,11,51.391,55.69,57.98,-23.0,21.24,4.947, 14, 4227
             ,taAql,ICRS,20,04,08.3152,+07,16,40.677,14.24,12.97,-29.52,6.19,5.521, 06, 4416
          ,ome-1Aql,ICRS,19,17,48.9986,+11,35,43.519,0.25,12.62,-14.3,7.72,5.300, 11, 3790
Bered     ,12Aql,ICRS,19,01,40.8272,-05,44,20.814,-24.15,-39.73,-43.9,21.95,4.027, 0, 0
# Aquarius
Sadalmelek   ,alAqr,ICRS,22,05,47.0357,-00,19,11.463,17.90,-9.93,7.5,4.30,2.950,-01, 4246
Sadalmelik   ,alAqr,ICRS,22,05,47.0357,-00,19,11.463,17.90,-9.93,7.5,4.30,2.950,-01, 4246
Sadalsuud    ,beAqr,ICRS,21,31,33.5341,-05,34,16.220,22.79,-6.70,6.5,5.33,2.91,-06, 5770
Sadalachbia  ,gaAqr,ICRS,22,21,39.3754,-01,23,14.393,129.24,8.90,-15,20.67,3.847,-02, 5741
Skat         ,deAqr,ICRS,22,54,39.0125,-15,49,14.953,-44.08,-24.81,18.0,20.44,3.269,-16, 6173
Albali       ,epAqr,ICRS,20,47,40.5515,-09,29,44.793,31.89,-35.32,-16.0,14.21,3.770,-10, 5506
Altager      ,epAqr,ICRS,20,47,40.5515,-09,29,44.793,31.89,-35.32,-16.0,14.21,3.770,-10, 5506
Sadaltager    ,ze-1Aqr,ICRS,22,28,49.912,-00,01,11.90,191,37,28.9,,4.5,0, 0
Hydria        ,etAqr,ICRS,22,35,21.3806,-00,07,02.991,88.56,-56.10,-8,17.77,4.030,-00, 4384
Deli          ,etAqr,ICRS,22,35,21.3806,-00,07,02.991,88.56,-56.10,-8,17.77,4.030,-00, 4384
Ancha        ,thAqr,ICRS,22,16,50.0364,-07,46,59.845,118.95,-21.91,-14.7,17.04,4.175,-08, 5845
             ,ioAqr,ICRS,22,06,26.2297,-13,52,10.845,40.45,-57.16,-10,18.90,4.281,-14, 6209
Situla       ,kaAqr,ICRS,22,37,45.3810,-04,13,41.001,-68.36,-120.47,8.2,13.92,5.040,-04, 5716
Hydor        ,laAqr,ICRS,22,52,36.8759,-07,34,46.557,19.51,32.71,-8.8,8.33,3.766,-08, 5968
Ekkhysis     ,laAqr,ICRS,22,52,36.8759,-07,34,46.557,19.51,32.71,-8.8,8.33,3.766,-08, 5968
Shatabhishaj ,laAqr,ICRS,22,52,36.8759,-07,34,46.557,19.51,32.71,-8.8,8.33,3.766,-08, 5968
             ,muAqr,ICRS,20,52,39.2336,-08,58,59.944,47.06,-32.91,-9.1,21.01,4.723,-09, 5598
Albulaan     ,nuAqr,ICRS,21,09,35.6477,-11,22,18.095,92.31,-15.76,-11.8,19.93,4.519,-11, 5538
Seat         ,piAqr,ICRS,22,25,16.6232,+01,22,38.642,18.38,3.35,4,2.96,4.794, 00, 4872
             ,siAqr,ICRS,22,30,38.8161,-10,40,40.620,1.79,-26.26,11,12.29,4.825,-11, 5850
           ,ta-2Aqr,ICRS,22,49,35.5023,-13,35,33.475,-12.58,-38.80,1.0,8.58,4.053,-14, 6354
             ,phAqr,ICRS,23,14,19.3597,-06,02,56.410,46.22,-195.85,-0.4,14.68,4.22,-06, 6170
Bunda        ,xiAqr,ICRS,21,37,45.1093,-07,51,15.125,114.29,-24.44,-18,18.26,4.690,-08, 5701
             ,upAqr,ICRS,22,34,41.6369,-20,42,29.577,221.60,-146.58,-1.9,43.97,5.20,-21, 6251
           ,ps-1Aqr,ICRS,23,15,53.4947,-09,05,15.853,368.56,-17.02,-26.4,21.97,4.21,-09, 6156
           ,ps-3Aqr,ICRS,23,18,57.6767,-09,36,38.700,43.47,-7.80,-10,13.10,5.001,-10, 6094
          ,ome-2Aqr,ICRS,23,42,43.3441,-14,32,41.657,98.35,-66.78,3,21.16,4.483,-15, 6476
          ,3Aqr,ICRS,20,47,44.2360,-05,01,39.723,-3.30,-40.24,-22.0,7.33,4.478,0, 0
          ,88Aqr,ICRS,23,09,26.7971,-21,10,20.675,55.99,31.25,21.1,13.96,3.66,0, 0
          ,98Aqr,ICRS,23,22,58.2267,-20,06,02.088,-120.27,-96.70,-6.5,20.14,3.967,0, 0
# Ara
Ara          ,alAra,ICRS,17,31,50.4933,-49,52,34.121,-31.27,-67.15,0,13.46,2.836,-49,11511
             ,beAra,ICRS,17,25,17.9887,-55,31,47.583,-8.23,-24.71,-0.4,5.41,2.832,-55, 8100
